lang,text
spa,"Si estuvieras aquí, estarías feliz."
ita,Taglia un po' le patate.
ita,Mi mostri qualcos'altro.
eng,Tom thinks Mary won't eat dessert.
eng,There was a bus stop at the foot of the hill.
ita,Tutti mi guardano male.
deu,"Tom versucht, nett zu sein."
eng,Tom is going to have a great time.
ita,Odio veramente quando le persone mi fissano.
fra,J'apprends à conduire.
ita,Tom mise giù il suo libro.
ita,Questo dipinto è già stato venduto.
fra,Je te souhaite une bonne journée !
spa,Es una perra de plástico.
deu,Im Trümmerschutt fand man ein Band mit einem Rubin.
ita,Qual è il vostro gioco di corsa preferito?
fra,Est-ce que vous prenez des médicaments en ce moment ?
deu,"„Wollen wir nicht eine Tasse Kaffee trinken?“ – „Nein, vielen Dank. Ich muss gehen.“"
eng,Tom got bitten by a dog when he was thirteen years old.
ita,Adesso è troppo tardi. Inoltre sta iniziando a piovere.
spa,Comprémosle algo bonito a Tom.
fra,L'italien est considéré par beaucoup comme la langue de l'amour.
eng,Tom turned into a bat and flew away.
spa,Le molestamos.
ita,I due cani sono come i nostri figli per noi.
fra,Tom s'est perdu en venant ici.
fra,"On peut braver les lois humaines, mais non résister aux lois naturelles."
eng,"You're not the only one who's supposed to do that, are you?"
fra,Pouvons-nous aller dans ta chambre ?
spa,"Si se rompe, lo cambiamos."
deu,Bist du Fachmann?
eng,He set the house on fire.
ita,Non li allatto.
ita,Questa è la cosa più divertente di sempre!
eng,Sami was in his pyjamas.
fra,Tom ne sait pas où sont les lunettes de soleil de Manon.
eng,Tom said that he doesn't think Mary really wants to do that by herself.
eng,There is an urgent need for action.
ita,Io sono sicura che le piacerà Tom.
ita,Lui ha abbandonato il piano.
spa,Se me ocurrirá algo.
eng,Why don't we eat somewhere else?
ita,Fra il pubblico c'era il Ministro della cultura.
fra,Elle a bu du thé avec du lait.
spa,"Si te descalzas al entrar en casa, puedes reducir el desgaste de la moqueta."
spa,Apague la luz.
ita,Sai cos'è successo?
deu,Wie viele Sprachen möchtet ihr lernen?
spa,Voy a la casa de Tom.
eng,Mary drank the orange juice I poured for her.
fra,"Désolée, j’ai appuyé par erreur sur le bouton d’envoi en cours de route."
deu,Du bist nicht aufgetaucht.
ita,Andiamo a costruire palestre in Brasile?
deu,Sie begleitete ihn auf dem Klavier.
spa,Picasso es un artista muy famoso.
spa,Tom me da más miedo que Mary.
spa,¿Se puede posar?
eng,I'm not really sure who I'm supposed to talk to.
eng,I don't think that I have one of those yet.
deu,Das ist Toms Wagen.
deu,Tom ist empörend.
spa,Me he hecho daño corriendo.
eng,No one was aware of her literary talent.
deu,Ich mag Brombeeren.
deu,Warum habt ihr nicht weiter mit mir gesprochen?
fra,Sami montait.
eng,Tiziri grows plants.
ita,Tutto è costoso a Londra.
deu,Dein Portemonnaie liegt auf dem Tisch.
spa,"Tráeme el periódico, por favor."
fra,Est-ce que vous me comprenez ?
fra,Quand est-ce que tu reviens ?
ita,Mary la perse.
spa,Tom necesita que le digan la verdad.
eng,I didn't know how to get there.
fra,Elle a perdu la clé de sa voiture.
ita,Aveva suonato.
ita,Le dirò che sei passato a trovare.
spa,Es una buena muchacha.
spa,¿Cómo pronuncias esta palabra?
deu,Tom zog seinen Überzieher aus.
fra,"Cette odeur de moisi, émane de la rivière."
fra,Tom a empêché Mary de faire cela.
deu,Niemand wird heute Nacht schlafen.
fra,L'hôte recouche l'enfant agité.
spa,"Puesto que he domesticado mi cólera, la guardo en mi bolsillo. Cuando la necesito, la saco."
ita,Lo sappiamo tutte che l'oro è più pesante dell'argento.
spa,Mi padre siempre se pone nervioso.
ita,Lasciamoli decidere.
eng,I don't think it's very likely Tom will do that.
fra,As-tu des œufs ?
ita,Viviamo sulla terra.
deu,"Ich weiß, dass Tom euch weh getan hat."
fra,Aère-toi la tête.
eng,Sami didn't like sharing space with Layla's son.
deu,Das ist eine große Illusion.
eng,Mary wasn't in her bedroom.
spa,No me importa nada de esto.
ita,Concentrati sui tuoi punti di forza e migliora continuamente i tuoi punti deboli.
ita,Parliamo con loro.
eng,His career had faltered.
eng,The misfortune of the ants makes the elephants laugh.
eng,I would've been worried if Tom hadn't been there.
deu,Ihr Herz war voller Mühsal und Kummer.
spa,Estoy nadando en el río.
fra,Je lui ai déjà pardonné.
fra,On n'est pas rendues.
spa,¿Qué lenguas sabes?
ita,Aveva compagnia.
deu,"„Hast du verstanden, was Maria gesagt hat?“ – „Bruchstückhaft. Sie hat viel zu schnell gesprochen.“"
eng,They got grounded.
eng,You understand that book.
spa,El gusto de mi esposa para vestirse es contrario al mío.
spa,Me está observando.
fra,Boston ne me manque pas du tout.
fra,Nous ne savions pas quelle voiture acheter.
deu,Ich bin Ihnen sehr dankbar für diesen so angenehmen Abend.
ita,Vado a fare amicizie in Islanda.
fra,Je suis aussi malade.
fra,Tomáš est un étudiant slovaque.
eng,"It's hot today, so we can swim in the ocean."
spa,Tom necesita un médico.
ita,Penso che non andrò per svago in Grecia.
spa,Estaba en la tienda.
eng,The girl is very pretty.
fra,Je suis Scorpion.
spa,La trompeta es un instrumento musical.
eng,What's the most serene and peaceful destination you've been to?
spa,Es la última mujer que yo esperaba ver.
spa,Le di a Tom todo lo que tenía.
spa,Un camión atropelló al perro.
ita,Nomini tre angeli.
deu,Ich hätte es fast vergessen.
ita,Ho rimandato tutto per stasera.
fra,C'est quoi le nom de jeune fille de votre mère ?
ita,Vorresti che noi portassimo qualcosa alla cena?
ita,Perdona Tom e me.
spa,No podemos ayudarlo ahora.
deu,Wir haben hinten gesessen.
ita,Ha incontrato Salas nella moschea.
ita,C'è una differenza evidente?
ita,Tom annusò il fiore.
spa,"Finalmente, Tom se cansará."
spa,Vi la forma en que lo estabas mirando.
eng,Tom ought to be reliable.
ita,Vuole andare a fare shopping con me?
spa,Encontré una llave vieja y oxidada en esa habitación.
spa,¿Niegas que fuiste allí?
fra,Trente-cinq degrés Celsius correspondent à quatre-vingt-quinze degrés Fahrenheit.
eng,I blush when I see you.
spa,"No me acusan, me insultan; no me combaten, me calumnian, y no me dan el derecho de defensa."
ita,Li uccisero.
deu,"Die Nachricht, dass sie gestorben sei, ist eine Lüge."
ita,Mary li ingannò tutti.
eng,I thought that Tom said he liked this kind of music.
ita,La prigioniera è stata messa in libertà ieri.
fra,La voiture a heurté le camion.
ita,"Dove andrai domani? ""In Sudafrica."""
fra,Il a essayé de me griffer.
fra,Pourquoi voudraient-ils faire cela ?
deu,Er ist hochgewachsen.
spa,¿En qué grupo está su amigo?
spa,Tengo todo el derecho.
deu,Gehe nicht zurück! Bleib stark!
spa,No fue demasiado pronto.
ita,Non vado a costruire mausolei in Libano.
fra,Je ne parle qu'un semblant de japonais.
ita,Mary si è lamentata del suo lavoro.
fra,Il m'a permis de travailler dans ce bureau.
ita,Si può facilmente giudicare la maturità di una banana dal colore della sua buccia.
fra,Qu'y a-t-il dans le sac ?
fra,Nous l'avons rattrapée sur la route.
deu,Er hat eine Fahne.
deu,Die Spannungen nahmen zu.
eng,"Calm down, man!"
ita,Cosa inventò Bell?
deu,Ich arbeite als Manager.
fra,Le taureau rue dans l'arène.
spa,Colm es la persona que pensé que vi.
spa,Los platos del desayuno todavía estaban en el fregadero.
ita,Dovreste consultarle.
eng,He had been working on his novel for six months when we visited him.
eng,The grapes seem to be sour.
ita,Dobbiamo ancora imparare la verità.
spa,Yo sé que tú quieres mucho a tu esposo.
eng,Tom is a TV enthusiast.
deu,Träume sagen die Wahrheit.
eng,At least 31 people were killed when Mt. Ontake erupted.
ita,So tutto ora.
deu,Beim Mahl der Kaki / erscholl der Schlag der Glocke. / Hōryūji.
eng,Ziri harvested the medlar tree.
ita,Lei ha solo quindici anni.
deu,Behalte die Tür im Auge.
spa,El muchacho besó a la muchacha.
deu,Warum bist du so erbost?
ita,Non sto facendo questo per me.
deu,Tom heulte.
ita,Va a cercare qualcosa in Bangladesh.
fra,Il a tiré trois fois.
deu,Warum laßt ihr Tom mit einer einfachen Verwarnung davonkommen?
eng,Americans dream.
deu,"Sie gab zu, dass mein Angebot angemessen war."
ita,A me piacciono queste mele.
fra,Je ne me sens plus en sécurité ici.
fra,Je ne dis pas cela sans raison.
spa,No podemos permitir que Tomasa se vaya como si tal cosa.
ita,Avete provato gli appuntamenti online?
deu,Schweizer sind keine Schweden.
ita,Non va a costruire negozi in Ucraina.
spa,El doctor le dió a ella morfina.
deu,Wilhelm änderte sein Erscheinungsbild.
spa,¿Ya has recibido la copia para noviembre de la revista Mi Jardín?
ita,Si tolga le calze.
deu,Du hättest sein Gesicht sehen sollen.
eng,Have you packed everything?
ita,Non andiamo a costruire strade in Arabia Saudita?
fra,Il le sait avec une certitude absolue.
fra,Voici des clous pour réparer la table.
spa,¡Siéntate derecho!
ita,Siamo stati a casa perché stava piovendo.
fra,Allons-y ! Aux motos !
ita,Ho visto un gregge di pecore.
eng,My father would never allow me to do that.
spa,Esto lo haremos sin costo.
spa,Me dolían los brazos.
eng,"You know I don't want to do that, don't you?"
fra,Tout le monde se refuse à parler.
spa,La quiero mucho.
fra,"Marie regarda George, admirative."
fra,Le chameau a une grosse bosse sur le dos.
ita,Non ho mai detto niente.
eng,Tebboune regularly holds a council of ministers.
spa,"¡No mires a Tom, mírame a mí!"
eng,"She's kind of weird, isn't she?"
spa,Él enseñaba historia en la escuela.
deu,Könnten Sie das bitte für mich tun?
spa,La gente de hoy en día no puede vivir sin coche.
eng,Stuart gave me a slip of paper with an address on it.
fra,Je t'ai dit que c'était trop tôt.
spa,Está hospedado en un hotel.
spa,El mono trepa rápidamente por el árbol.
ita,Tom chiese a Mary se conosceva il suo nuovo indirizzo.
fra,Vous avez peur de moi.
eng,"She's good at math, isn't she?"
fra,Essaieras-tu de trouver des symboles dans tes rêves nocturnes ?
eng,Do you want me to teach you how to do that?
fra,Combien de fois par semaine prenez-vous un bain ?
spa,"No seas mal pensado, él es solo mi amigo."
fra,Ce groupe cartonne partout en France.
spa,¿Tienes una llave extra?
ita,Troverà qualcosa.
ita,Abbiamo studiato.
eng,"If you dress like that at your age, you'll make a fool of yourself."
deu,Haben Sie wirklich Musik studiert?
ita,Io non sono mai stato a una festa così bella.
spa,Yo tengo un hermano mayor y dos hermanas menores.
spa,Voy a estudiar ruso.
ita,"Hai dei fratelli e delle sorelle? ""No, sono figlio unico."""
spa,Ciertos periódicos deformaron la verdad.
ita,Dovresti scusarti con Mary.
fra,"Néanmoins, je pense que l'expérience fut un succès."
fra,Ils devenaient nerveux.
fra,Tiziri a dit ça.
spa,Mi padre me ha comprado una nueva bici.
fra,"Il semble que les bikinis soient à la mode, cette année."
deu,Bei Tom hapert es gewaltig an Einfühlungsvermögen.
eng,Algeria needs to provide more subsidies to cushion the blow of inflation on poor families.
ita,Quando ti svegli la domenica?
eng,I have dinner with Taninna almost every day.
spa,"La gente mayor, con dolencias respiratorias, son población de alto riesgo."
deu,"Tom wartet darauf, dass Maria wiederkommt."
fra,L'enfant malade est soignée par la voisine.
fra,Mon ordinateur est cher.
fra,Le temps est demeuré mauvais.
spa,¿Hay una farmacia cerca?
ita,La risposta di Tom era evasiva.
deu,Nehmen Sie meinen.
eng,I would've thought that Tom would do that.
spa,¿Por qué te molesta?
ita,Va a fare affari in Spagna.
spa,Te arrepentirás de ello.
ita,Sami era geloso.
eng,It's enough to send you round the bend.
ita,Non mi sono dovuto sforzarmi molto.
eng,We were living peacefully.
deu,Warum ist das hier?
eng,She will be seventeen next year.
fra,Je suis très en retard.
deu,"Sie hat es verdient, die Wahrheit zu erfahren."
spa,No molestes a Tom mientras está durmiendo.
eng,Did you hear the birds tweeting?
spa,¿Quieres decir que ignoras lo que pasó?
ita,Il parco è chiuso lunedì.
spa,Ya es demasiado tarde para echarse atrás.
deu,Sie hat dich angelogen.
deu,Ich wandere gern.
spa,Ese auto me chocó muy fuerte.
fra,Il passait par-dessus les échaliers.
deu,Das Mädchen scheint nicht auf ihn zu achten.
spa,¿Por qué no entras y hablamos de ello?
fra,Où avez-vous vu ça ?
fra,Ces jumeaux-là se ressemblent comme deux gouttes d'eau.
ita,Mi hanno detto che sarebbero stati qua.
deu,"Es ist sehr gut, aber du kannst es viel besser machen."
ita,Non riesco a mentirvi.
fra,Elles sont allées acheter de la laine.
ita,Ditele di aiutarlo.
ita,Di cos'è che aveva così tanta paura?
eng,"Thousands of Moroccans have defied their authoritarian king, calling for change."
ita,"Di che nazionalità sono le loro madri? ""Boliviana."""
fra,On a tous réclamé des poèmes kabyles.
deu,Es ist warm heute.
deu,Ich habe einen Brief von einem Freund aus London bekommen.
eng,I drove downtown to meet her.
deu,Erfülle diesen Tag mit Freude und Vergnügen!
ita,Benvenuti nella nostra nuova casa.
eng,No one can undermine your impact at work.
spa,Dibujádmelo.
spa,No soy apto para la labor física.
eng,Both Mary and I like Australia.
fra,M'accoutumer au bruit m'a pris un long moment.
deu,"Tom wohnt zwar schon zehn Jahre hier, aber er scheint die Stadt nicht gut zu kennen."
eng,Most of us feel the end is very near.
ita,Posso venire.
ita,Il bambino ha finito l'esercizio.
spa,Todos los partidos del torneo serán transmitidos en vivo por Internet.
spa,"Cuando crezca, quiero ser conductor de tren."
eng,Tom has been declared brain dead.
spa,¿Cómo se debería de hacer para parar el descontento?
fra,Mon père pouvait parler l'italien très couramment.
spa,Es ya hora de comer.
spa,Hay muchas colinas en esta región.
spa,¿Puedo irme a dar un paseo?
spa,¿Quién sería tan estúpido como para hacer eso?
ita,Va a costruire allevamenti in Canada.
fra,J'ai hâte de te raconter ce qu'on a fait.
eng,I don't think that we should be fighting.
deu,Sie hat ihren Eltern ein schönes Haus gebaut.
ita,Si è sofferto troppo.
spa,La forma honesta en que él vive es verdaderamente admirable.
fra,Ses dents sont jaunes à force de trop fumer.
ita,Tu sei piena di energia.
fra,Il ne reste que cinq minutes avant que le train ne s'ébranle et elle n'a pas fait son apparition.
eng,"I read the article ""Effects of Collisions upon a Partial Dyson Sphere."""
spa,Él es maestro.
deu,"Tom isst kein Schweinefleisch, nicht wahr?"
spa,Siempre está aprendiendo algo nuevo.
spa,¿Cómo pudo haber ido mal?
ita,Non poteva proteggerlo.
spa,"Ocupado, te llamaré de vuelta."
fra,Akira joue très bien au tennis.
deu,An der Kinokasse ist ein ziemliches Gedränge.
eng,Not one of us is local.
eng,"Mary is waiting in the car, isn't she?"
ita,Non ho mai pensato che li avrei trovati.
spa,¿No te parece divertido este pasaje?
ita,Prima di andare a dormire è necessario aerare la stanza.
fra,Cela ne te regarde pas.
spa,"Antes, todos los niños podían distinguir el bien del mal."
deu,"Er fragte, ob ich chinesisches Essen möge."
fra,Veux-tu verser du lait dans le thé ?
deu,Ich steige hier aus.
spa,No es Navidad.
fra,Fais-je l'objet de soupçons ?
ita,Tom e Mary dissero che non erano dispiaciuti.
eng,"If you don't do that, we'll kill you."
ita,"Se vai in quel negozio, prendi due paia di calze?"
deu,"Du sagst, ich habe schon nicht mehr alle Tassen im Schrank, dabei bist du selbst schon geisteskrank."
spa,María siempre está sola.
eng,Toki Pona is an aphoristic language.
eng,"Are you angry at me? ""How could anyone ever be angry at you?"""
eng,Sami's mother would do anything to provide for her son.
deu,Das sind meine Brüder.
eng,Algiers should have a unique form of modernism.
ita,"Tu hai comprato il cibo, quindi se compro il vino si pareggeranno le cose."
fra,Promets-moi que tu tiendras tes promesses.
fra,La porte arrière n'était pas verrouillée.
eng,How do I study best?
deu,Das zu tun wäre ein großer Fehler.
eng,He's a hippie.
spa,No puedo ayudarte con esto.
ita,Ce la fai a stringere i lacci?
deu,"Tom nahm mir das Versprechen ab, niemanden mehr als Esel zu bezeichnen."
deu,Kaufe ihm nichts.
eng,"In the 19th century, the number of immigrants swelled rapidly."
deu,"Weißt du, was ich an dir liebe?"
spa,A Tom le dolía la cabeza.
eng,We're parents now.
fra,C'est une hypothèse intéressante.
fra,Tu n'es pas viré.
ita,Le ciliegie di Ziri sono più grandi.
deu,Hast du es je hageln sehen?
deu,Heute Nacht werde ich nicht einschlafen können.
fra,Les gens le savent ?
fra,"Ici, c'est moi le patron."
fra,J'ai le profond regret de vous annoncer son décès.
spa,El reportaje que emitieron mostraba una situación claramente sesgada.
eng,What's a computer hard drive?
eng,Where's my ticket?
ita,Questo non ti aiuterà.
fra,"Acquière de la maturité, Joé."
eng,Why don't we see if we can get inside?
deu,Er war irgendwie in der Lage über den Fluss zu schwimmen.
spa,"El nombre del coche de Marco es ""Thunder Giant""."
ita,L'esperienza vi insegnerà il buon senso.
fra,Je manque de vitalité.
eng,I let Tom know what I was thinking.
fra,J'ai reçu des commentaires de milliers de personnes.
fra,Je ne savais pas qu'un tel lieu existait sur le chemin de l'école.
deu,Waren Sie schon einmal am Schwarzen Meer?
fra,Je me demande où Tom a appris comment faire cela.
deu,"Der Welt Schlüssel heißt Demut. Ohne ihn ist alles Klopfen, Horchen, Spähen umsonst."
spa,No puedo pararme.
fra,De quelle équipe fais-tu partie ?
fra,Il neige sans cesse.
spa,Él pudo resolver el problema con facilidad.
fra,J'ai dit que je voulais manger.
deu,"Ich denke, du solltest ihn fragen."
eng,My body isn't as flexible as it used to be.
deu,"Tom, liebst du mich noch?"
spa,Busco a mis amigos.
fra,Le gâteau est en train d’être mangé.
fra,Veuillez accepter mes condoléances.
eng,Ziri is reliable on Rima.
spa,"Separado de ella, él se sentía completamente desamparado y perdido."
deu,Der Film war viel besser als erwartet.
deu,Susanne kommt ganz nach ihrer Mutter.
fra,Il n'est pas allé à Ouadnan.
ita,Tom mangiò tutti i suoi pasti nella sua stanza.
fra,Je ne suis pas pauvre au point de ne pas pouvoir envoyer mon fils à l'université.
deu,"Tom eilte zu Maria, als er hörte, dass sie Hilfe brauchte."
fra,Beaucoup de personnes sont encore portées disparues.
deu,Wir schwimmen einmal pro Woche zusammen.
ita,Benvenute al cabaet.
ita,Ma fammi il piacere!
deu,"Die Erde würde alle Menschen ernähren, wenn alle solidarisch handeln würden."
fra,Il est plus sage de quitter cet endroit.
deu,Ich habe Augen. Und mit denen kann ich sehen.
spa,¡Has estado mirando esa pantalla todo el día!
fra,Tu vas l'accompagner.
fra,Il est parti en voyage à Tokyo avec sa famille.
ita,Era nel negozio.
ita,Non volete fermare Tom?
ita,Io non li saboto.
deu,Haben Sie schon einmal kurze Lederhosen getragen?
fra,Il a poursuivi ses études au Canada.
eng,We need to study the cause and effect of the accident closely.
deu,"Wie lange ist es her, daß Sie in Australien lebten?"
fra,Avez-vous déjà été traitée pour la syphilis ?
ita,Morite al club!
fra,Faisons-le de cette façon.
eng,He sold the car last week.
spa,«¿Te cansaste andar por el mercado?» «¡No me cansé! Se me entumeció un poco la pierna.»
fra,C'était très difficile.
ita,Avete un passaporto valido?
ita,Vi sono grato per il vostro aiuto.
ita,Lei ha svegliato Tom.
eng,You aren’t allowed to mine here.
ita,Devo aiutarti.
deu,Du bist ein sehr tollpatschiger Kerl.
fra,Collectionnez-vous quelque chose ?
eng,I will return tomorrow.
ita,Mary mi ha fatto giurare di non dirlo a Tom.
ita,Sono al Libre Software Meeting per presentare il progetto Tatoeba.
spa,"Nuestros clientes están en Taiwan, explicó Tom."
fra,Je ne sais pas combien de temps ça prend.
spa,He oído que Tom odia a Mary.
eng,Tom made a 911 call.
eng,I'll buy her a violin.
spa,Me quiero rascar la nariz.
fra,Nous n'avions pas l'habitude de gagner.
ita,Ho fatto bene qui.
spa,Estoy esperando.
spa,Las ciudades son los crisoles de la civilización.
deu,"Jetzt sei aber mal still! Du bist ja schlimmer als mein Vater, wenn er sich über etwas aufregt!"
deu,"Ich glaubte, ich hätte eine Lösung meines Problems gefunden."
eng,It's convenient for me to see you at ten tonight.
deu,Wann haben Sie die Ohrringe gekauft?
deu,Tom findet eine seiner schwarzen Socken nicht.
ita,Tom sedeva a gambe incrociate sul pavimento.
fra,Je tuerais pour être américain.
deu,Der Käse war köstlich.
fra,J'adore votre fille.
ita,Non vai a costruire strade in Uganda?
fra,Le fondationnalisme moral cherche des principes éthiques premiers auto-évidents.
spa,¿Dónde nos habíamos quedado?
fra,"Tout ça, c'est du charabia pour moi."
ita,Ecco perché non fa accordi con questi ladri mafiosi.
deu,Wer ist heute in der Telefonzentrale?
eng,There aren't only nice people in the world.
fra,Cela fait dix ans qu'ils vivent ici.
deu,"Ich bin nicht mehr die, die ich mal war."
spa,Lo ha hecho a la antigua usanza.
deu,"Du denkst ich hätte nichts zu tun; im Gegenteil, ich bin sehr beschäftigt."
ita,Sono ancora debole.
spa,¡El latín es la lengua del futuro!
fra,Un an s'est écoulé depuis sa mort.
ita,Guardate cos'ho trovato sistemando la libreria!
deu,Sprichst du ausgehend von eigenen Erfahrungen?
spa,Tom no quiso romperle el corazón a Mary.
eng,Stefan hasn't finished the movie.
spa,Un accidente así puede volver a pasar.
deu,"Maria ist der Ansicht, das Leben sei zu kurz."
fra,Sami n'a rien reçu.
eng,Tom and Mary want to adopt a child.
fra,Êtes-vous instructeur ?
eng,Do you hear Yanny or Laurel?
spa,Sé que ahora tengo un problema.
fra,J’exige qu’ils aillent vite chez eux.
spa,¡Hay muchas actuaciones increíbles allí!
fra,Demain nous serons mardi.
ita,Non l'abbiamo vista recentemente.
eng,Have you spent much time in Boston?
deu,Wir haben keine Nahrung.
ita,Vi manderò un'altra copia.
fra,Qu'ont-elles emporté avec elles le jour où elles sont parties en voyage ?
eng,Why don't you let Tom drive?
ita,Le suggerisco di andare a Boston con Tom.
fra,Je suis désolé de ce que j'ai dit.
fra,Le chargeur est vide.
ita,Che ci fa a casa così presto?
ita,Digli che siamo impegnate.
fra,Vous n'avez jamais eu de considération pour nous.
deu,Ihr habt eure Niederlage eingeräumt.
ita,Non voglio essere ricordato.
spa,Despertalos.
ita,C'è una soluzione per tutto.
deu,"Vor allem ist es zwingend erforderlich, die Aufmerksamkeit auf das nächste Spiel zu konzentrieren."
deu,So denken wir nicht mehr.
spa,¿Huelo mal?
fra,Les ratons laveurs sont gris avec de petits yeux noirs.
fra,Tu es complètement ignorante.
fra,Vous nous devancerez à Ait Rzin.
spa,Tom tiene trece años.
ita,"Di che nazionalità erano i nostri professori? ""Tedesca."""
deu,Die Suppe ist sehr heiß. Man kann sie nicht sofort essen.
eng,Tom isn't qualified.
spa,Ya es hora de irse a dormir.
fra,Il ne s’est rendu compte qu’on l’a eu qu’à la fin.
eng,Yanni's business needs a professional website.
ita,Tom ha detto a Mary che avrebbe potuto predire il futuro.
fra,Ta sœur n'a pas participé.
deu,Meine Mutter ist Oberschullehrerin.
ita,Non la vede?
ita,Non era sempre un imam.
deu,Tom hat mir Kekse gebacken.
spa,¿Quién es tu actor favorito?
fra,Comment vous devez traduire sueur en langue chaouie ?
ita,Tom non si perde molto.
deu,Dieser hier ist schöner.
eng,"As he grows, he becomes increasingly handsome."
deu,Wir betätigen uns seit 8 Jahren als Sponsoren.
eng,Do you remember what to do?
eng,Tom tried to reach Mary.
fra,Deux fois quatre égalent huit.
ita,Adesso dammi il libro.
deu,"Glauben Sie, Tom leiht mir sein Auto?"
spa,Pedí a mi secretaria que sacara diez copias.
deu,"Krankheiten haben für gewöhnlich mehrere Ursachen, nicht nur eine."
spa,¿Vas a estar en casa para Navidad?
fra,J'espère que cela n'arrivera jamais.
spa,Yo nunca debería haber pasado el rato con Tom.
ita,Ha della posta.
eng,What do you want to get him for his birthday?
spa,¿Qué estáis preparando?
eng,Who's behind it?
deu,Du kochst besser als ich.
spa,La pareja decidió adoptar a un huérfano.
fra,Il préfère les moules.
spa,Supongo que es diferente cuando lo consideras a largo plazo.
fra,Le tatar est la langue turque la plus parlée de Russie.
deu,Er küsste seine Katze.
spa,¿Dónde debo archivar esta correspondencia?
deu,Ich esse weniger als ihr.
deu,Er vermehrte seine Ersparnisse.
spa,Miles de satélites orbitan alrededor de la tierra.
eng,We're undressing.
fra,Est-ce que ça pose un problème si je viens te rendre visite aujourd'hui ?
deu,Wie oft habe ich das Ihnen schon gesagt?
fra,Je voudrais apprendre l'anglais pour connaître d'autres cultures.
ita,"Ma rimane, comunque, strano il fatto che non sia stata riportata la motivazione della sospensione."
spa,Mateo es un experto en cartografía antigua.
spa,¿Cómo es esto? Se suponía que no te interesaba mucho. ¡Qué curioso!
spa,A mí eso no me pasa.
eng,Is she eating?
ita,Uscire col proprio ex è come mangiare il proprio vomito.
spa,El carro atravesó el extenso campo.
fra,J'ai pensé qu'il fallait un peu de patience.
deu,"Maria, das ist aber eine Überraschung! Komm doch herein! Hast du schon gegessen?"
ita,Tom ha preso Mary con sé.
deu,Hast du die Kartons schon auf den Dachboden gebracht?
ita,La guerra è finita nel 1945.
eng,Tom is no match for me in tennis.
spa,Esta roca es el resultado de la acción de temperaturas elevadísimas y de grandes presiones.
deu,"Fantasie besitzt die Kraft, unbemerkt Dinge in Bewegung zu setzen."
ita,Andiamo in vacanza in Sardegna.
fra,Tom et Marie ont passé Noël ensemble.
eng,She was too wise not to understand what you meant.
ita,È qualche giorno che mi sento strano.
fra,Vous êtes loin de chez vous.
ita,Pensa a tuo fratello!
eng,Can we stop at my place?
eng,He asked her what she had in her suitcase.
ita,Sarà per un'altra volta?
deu,Rings um das Dorf breitet sich eine grüne und abwechslungsreiche Landschaft aus.
spa,El hierro es más útil que el oro.
eng,Tom said that he thought Mary was very reliable.
eng,Reconciliation among religions is the foundation of world peace.
fra,"La porte n'est ni fermée, ni grande ouverte, elle est entrouverte."
spa,Se me pasó el tren por dos minutos.
fra,Te rends-tu beaucoup plus loin ?
ita,"Da quando ci diamo del ""tu""?"
deu,"Mein großer Bruder kann tun, was er will."
spa,A Mary las críticas de la prensa le hacen lo que el viento a Juárez.
ita,So che non è facile gestire queste cose.
ita,"Per piacere, non faccia così tanto rumore."
ita,Yanni dorme con il suo portatile addosso.
eng,Tom is thinking of going to New York.
ita,Quindi non vuole farti soffrire?
deu,Ich werde dennoch bei meiner Meinung bleiben.
eng,The lesson finishes at noon.
fra,Êtes-vous venues aujourd'hui ?
eng,We'll discuss that later.
deu,Ich liebe Linsensuppe.
deu,In schlechten Zeiten werden die Kirchen wieder voll.
spa,Los leones son animales territoriales.
eng,I promise you that I'll do something about the situation.
deu,Tom war schon wieder böse auf mich.
spa,Alza las manos.
fra,Il nous a entraînés pendant six mois.
eng,Tom wasn't in the army.
eng,Tom likes to imitate everything Mary does.
spa,"Ya que él no fue capaz de demostrar su inocencia, debió abandonar su ciudad natal."
ita,La Francia ha collaborato durante la guerra.
ita,Dove avete messo il mio libro?
ita,Tom votò Obama.
deu,Ich mag Kuchen.
spa,Fue apenas ayer éramos niños.
eng,Tom recently bought a motorcycle.
eng,Sorry for my impatience.
fra,Il les a arrangées.
spa,¿Es ciego tu hijo?
ita,"Per piacere, parli in francese."
spa,La casa se vendió en un millón de dólares.
eng,We developed a hotel in Algeria.
ita,Questo è urgente.
fra,Elle montait dans sa voiture et partait.
deu,Tom ist ein engstirniger Mensch.
fra,Ce sont des on-dit !
eng,I think it's necessary for him to go there.
ita,Quella non è la questione.
spa,No dije nada.
deu,"Weniger als einen Monat, nachdem er ins Ausland gereist war, wurde er krank."
eng,I saw Tom just a few moments ago.
spa,Acabo de recibir las noticias.
deu,Es lebe die Gedankenfreiheit!
eng,No one thinks that you're stupid.
spa,Natalia se pasa el día grabando vídeos.
fra,Tom a été impliqué dans l'enlèvement de la fille de Mary.
deu,Ich ging nach Dänemark.
ita,Ti piace quell'ulivo?
fra,Je suis immunisé contre la variole.
spa,"A Jack no le falta talento musical, al contrario, toca muy bien el piano."
ita,"Di che nazionalità sono i suoi studenti? ""Canadese."""
spa,No nos costó mucho.
deu,"Du weißt, ich würde alles tun für deine schönen Augen."
deu,Der Mann ließ sich mit seiner Frau ein.
eng,Can you drive a truck?
deu,"Ich denke nicht, dass ich mit dir Französisch lernen möchte."
eng,I can't believe we're really doing this.
